ID,Date,Theme,Num_People,Winner_Movie_ID,Voting_Data_ID,People_ID,Name,Movie_ID,Title,Test
1,"2020-08-01 17:04:39","Iconic Villains",3,3,1,1,Nico,1,"Terminator 2",0
2,"2020-08-01 17:04:39","Iconic Villains",3,3,1,1,Nico,2,"Inglorious Basterds",0
3,"2020-08-01 17:04:39","Iconic Villains",3,3,1,2,Britt,3,"Texas Chainsaw Massacre",0
4,"2020-08-01 17:04:39","Iconic Villains",3,3,1,2,Britt,4,"Avengers Endgame",0
5,"2020-08-01 17:04:39","Iconic Villains",3,3,1,3,Pato,5,Misery,0
6,"2020-08-01 17:04:39","Iconic Villains",3,3,1,3,Pato,6,"2001: A Space Odyssey",0
7,"2020-08-08 18:11:31","Franchise Movie",3,4,2,2,Britt,4,"Avengers Endgame",0
8,"2020-08-08 18:11:31","Franchise Movie",3,4,2,1,Nico,7,"Die Hard 4",0
9,"2020-08-08 18:11:31","Franchise Movie",3,4,2,1,Nico,8,"Matrix Revolutions",0
10,"2020-08-08 18:11:31","Franchise Movie",3,4,2,2,Britt,9,"Toy Story 4",0
11,"2020-08-08 18:11:31","Franchise Movie",3,4,2,3,Pato,10,"Indiana Jones: Last Crusade",0
12,"2020-08-08 18:11:31","Franchise Movie",3,4,2,3,Pato,11,"Ace Ventura Pet Detective",0
13,"2020-08-08 18:25:11","Famous Directors",3,13,3,1,Nico,13,"The Big Short",0
14,"2020-08-08 18:25:11","Famous Directors",3,13,3,1,Nico,14,"The Usual Suspects",0
15,"2020-08-08 18:25:11","Famous Directors",3,13,3,2,Britt,15,"Shutter Island",0
16,"2020-08-08 18:25:11","Famous Directors",3,13,3,2,Britt,16,"Kill Bill Vol 1",0
17,"2020-08-08 18:25:11","Famous Directors",3,13,3,3,Pato,17,"Grand Budapest Hotel",0
18,"2020-08-08 18:25:11","Famous Directors",3,13,3,3,Pato,18,"Hateful Eight",0
19,"2020-08-08 18:31:40","Famous Directors",3,18,4,2,Britt,1,"Terminator 2",1
20,"2020-08-08 18:31:40","Famous Directors",3,18,4,1,Nico,2,"Inglorious Basterds",1
21,"2020-08-08 18:31:40","Famous Directors",3,18,4,2,Britt,4,"Avengers Endgame",1
22,"2020-08-08 18:31:40","Famous Directors",3,18,4,1,Nico,7,"Die Hard 4",1
23,"2020-08-08 18:31:40","Famous Directors",3,18,4,3,Pato,16,"Kill Bill Vol 1",1
24,"2020-08-08 18:31:40","Famous Directors",3,18,4,3,Pato,18,"Hateful Eight",1
25,"2020-08-11 12:01:51","Nico's Favourite Movies",5,20,5,2,Britt,1,"Terminator 2",0
26,"2020-08-11 12:01:51","Nico's Favourite Movies",5,20,5,3,Pato,11,"Ace Ventura Pet Detective",0
31,"2020-08-11 12:01:51","Nico's Favourite Movies",5,20,5,1,Nico,24,Snatch,0
32,"2020-08-11 12:01:51","Nico's Favourite Movies",5,20,5,1,Nico,25,"Back to the Future Part II",0
33,"2020-08-11 12:01:51","Nico's Favourite Movies",5,20,5,2,Britt,26,"Dumb and Dumber",0
34,"2020-08-11 12:01:51","Nico's Favourite Movies",5,20,5,3,Pato,27,"The Dark Knight",0
35,"2020-08-14 19:31:10","IMDb Greater than 8",3,15,6,3,Pato,15,"Shutter Island",0
36,"2020-08-14 19:31:10","IMDb Greater than 8",3,15,6,1,Nico,28,"The Prestige",0
37,"2020-08-14 19:31:10","IMDb Greater than 8",3,15,6,1,Nico,29,"American History X",0
38,"2020-08-14 19:31:10","IMDb Greater than 8",3,15,6,2,Britt,30,"The Shawshank Redemption",0
39,"2020-08-14 19:31:10","IMDb Greater than 8",3,15,6,2,Britt,31,"The Departed",0
40,"2020-08-14 19:31:10","IMDb Greater than 8",3,15,6,3,Pato,32,"Django Unchained",0
47,"2020-08-15 19:42:12","Movies from 2010s",3,44,8,1,Nico,40,Inception,0
48,"2020-08-15 19:42:12","Movies from 2010s",3,44,8,1,Nico,41,"John Wick",0
49,"2020-08-15 19:42:12","Movies from 2010s",3,44,8,2,Britt,42,"A Quiet Place",0
